strategy_id,type,cost,description
S0001,discount,12,首月50%折扣优惠
S0002,discount,22,首月11%折扣优惠
S0003,discount,19,首月25%折扣优惠
S0004,discount,11,首月18%折扣优惠
S0005,discount,10,首月44%折扣优惠
S0006,discount,23,年度订阅47%优惠
S0007,discount,10,年度订阅12%优惠
S0008,discount,16,年度订阅15%优惠
S0009,discount,26,年度订阅24%优惠
S0010,discount,10,年度订阅48%优惠
S0011,discount,11,续费立减45%
S0012,discount,18,续费立减44%
S0013,discount,19,续费立减24%
S0014,discount,13,续费立减47%
S0015,discount,29,续费立减10%
S0016,discount,37,VIP专属20%折扣
S0017,discount,25,VIP专属37%折扣
S0018,discount,19,VIP专属27%折扣
S0019,discount,45,VIP专属23%折扣
S0020,discount,18,VIP专属31%折扣
S0021,discount,34,限时促销15%OFF
S0022,discount,32,限时促销16%OFF
S0023,discount,48,限时促销32%OFF
S0024,discount,12,限时促销26%OFF
S0025,discount,44,限时促销39%OFF
S0026,discount,49,老用户回归17%优惠
S0027,discount,22,老用户回归34%优惠
S0028,discount,29,老用户回归45%优惠
S0029,discount,39,老用户回归50%优惠
S0030,discount,38,老用户回归33%优惠
S0031,discount,30,季度套餐22%折扣
S0032,discount,9,季度套餐14%折扣
S0033,discount,17,季度套餐24%折扣
S0034,discount,15,季度套餐15%折扣
S0035,discount,20,季度套餐16%折扣
S0036,discount,26,升级套餐享27%优惠
S0037,discount,38,升级套餐享50%优惠
S0038,discount,17,升级套餐享33%优惠
S0039,discount,23,升级套餐享33%优惠
S0040,discount,33,升级套餐享23%优惠
S0041,feature_unlock,25,免费试用高级功能15天
S0042,feature_unlock,24,免费试用高级功能9天
S0043,feature_unlock,10,免费试用高级功能27天
S0044,feature_unlock,12,免费试用高级功能24天
S0045,feature_unlock,19,免费试用高级功能12天
S0046,feature_unlock,13,解锁专属AI分析38天
S0047,feature_unlock,15,解锁专属AI分析28天
S0048,feature_unlock,12,解锁专属AI分析17天
S0049,feature_unlock,15,解锁专属AI分析16天
S0050,feature_unlock,13,解锁专属AI分析39天
S0051,feature_unlock,11,赠送云存储空间18GB
S0052,feature_unlock,15,赠送云存储空间82GB
S0053,feature_unlock,25,赠送云存储空间37GB
S0054,feature_unlock,17,赠送云存储空间73GB
S0055,feature_unlock,19,赠送云存储空间92GB
S0056,feature_unlock,13,开放API调用额度2440次/月
S0057,feature_unlock,12,开放API调用额度2387次/月
S0058,feature_unlock,22,开放API调用额度9297次/月
S0059,feature_unlock,23,开放API调用额度4404次/月
S0060,feature_unlock,23,开放API调用额度7119次/月
S0061,feature_unlock,16,专属客服支持19天
S0062,feature_unlock,9,专属客服支持14天
S0063,feature_unlock,20,专属客服支持23天
S0064,feature_unlock,6,专属客服支持9天
S0065,feature_unlock,9,专属客服支持10天
S0066,feature_unlock,18,数据导出功能9天试用
S0067,feature_unlock,17,数据导出功能8天试用
S0068,feature_unlock,24,数据导出功能13天试用
S0069,feature_unlock,21,数据导出功能14天试用
S0070,feature_unlock,22,数据导出功能11天试用
S0071,feature_unlock,8,团队协作功能14天体验
S0072,feature_unlock,25,团队协作功能22天体验
S0073,feature_unlock,8,团队协作功能24天体验
S0074,feature_unlock,18,团队协作功能23天体验
S0075,feature_unlock,19,团队协作功能19天体验
S0076,feature_unlock,13,自定义报表7天免费
S0077,feature_unlock,10,自定义报表15天免费
S0078,feature_unlock,8,自定义报表15天免费
S0079,feature_unlock,25,自定义报表20天免费
S0080,feature_unlock,25,自定义报表11天免费
S0081,email,4,个性化产品使用技巧邮件
S0082,email,4,个性化产品使用技巧邮件
S0083,email,1,个性化产品使用技巧邮件
S0084,email,1,个性化产品使用技巧邮件
S0085,email,2,个性化产品使用技巧邮件
S0086,email,8,专属客户经理联系邮件
S0087,email,3,专属客户经理联系邮件
S0088,email,6,专属客户经理联系邮件
S0089,email,8,专属客户经理联系邮件
S0090,email,6,专属客户经理联系邮件
S0091,email,0,产品更新亮点通知
S0092,email,2,产品更新亮点通知
S0093,email,3,产品更新亮点通知
S0094,email,0,产品更新亮点通知
S0095,email,0,产品更新亮点通知
S0096,email,2,用户成功案例分享
S0097,email,2,用户成功案例分享
S0098,email,1,用户成功案例分享
S0099,email,0,用户成功案例分享
S0100,email,1,用户成功案例分享
S0101,email,0,满意度调查邀请
S0102,email,0,满意度调查邀请
S0103,email,3,满意度调查邀请
S0104,email,0,满意度调查邀请
S0105,email,1,满意度调查邀请
S0106,email,3,节日问候与专属福利
S0107,email,8,节日问候与专属福利
S0108,email,9,节日问候与专属福利
S0109,email,3,节日问候与专属福利
S0110,email,5,节日问候与专属福利
S0111,email,4,产品路线图预览邮件
S0112,email,4,产品路线图预览邮件
S0113,email,3,产品路线图预览邮件
S0114,email,1,产品路线图预览邮件
S0115,email,4,产品路线图预览邮件
S0116,email,8,一对一产品咨询邀请
S0117,email,9,一对一产品咨询邀请
S0118,email,11,一对一产品咨询邀请
S0119,email,15,一对一产品咨询邀请
S0120,email,15,一对一产品咨询邀请
